date,rate_new,rate_old,delta_bp,direction,n_chars,n_words,signal_sentence,url
2017-07-28,9.0,9.0,0,hold,5534,682,"В дальнейшем, принимая решение, Банк России будет исходить из оценки инфляционных рисков, динамики инфляции и экономики относительно прогноза.",https://www.cbr.ru/press/pr/?file=28072017_133214keyrate2017-07-28t13_23_30.htm
2017-09-15,8.5,9.0,-50,down,5884,728,"Принимая решение по ключевой ставке, Банк России будет исходить из оценки рисков существенного и устойчивого отклонения инфляции от цели, а также динамики потребительских цен и экономической активности относительно прогноза.",https://www.cbr.ru/press/pr/?file=15092017_1330140keyrate2017-09-15t13_22_03.htm
2017-10-27,8.25,8.5,-25,down,5034,615,"Принимая решение по ключевой ставке, Банк России будет оценивать баланс рисков существенного и устойчивого отклонения инфляции вверх и вниз от цели, а также динамику экономической активности относительно прогноза.",https://www.cbr.ru/press/pr/?file=27102017_133003keyrate2017-10-27t13_18_28.htm
2017-12-15,7.75,8.25,-50,down,6491,828,"Принимая решение по ключевой ставке, Банк России будет оценивать баланс рисков существенного и устойчивого отклонения инфляции вверх и вниз от цели, а также динамику экономической активности относительно прогноза.",https://www.cbr.ru/press/pr/?file=15122017_133000keyrate2017-12-15t13_25_57.htm
2018-02-09,7.5,7.75,-25,down,6413,810,В этих условиях Банк России продолжит снижение ключевой ставки и допускает завершение перехода от умеренно жесткой к нейтральной денежно-кредитной политике в 2018 году.,https://www.cbr.ru/press/pr/?file=09022018_133031keyrate2018-02-09t13_29_29.htm
2018-03-23,7.25,7.5,-25,down,4841,615,"Банк России будет уделять особое внимание ситуации на рынке труда, в том числе оценивать влияние динамики доходов и заработных плат на потребительское поведение и инфляцию.",https://www.cbr.ru/press/pr/?file=23032018_133000keyrate2018-03-23t13_20_35.htm
2018-04-27,7.25,7.25,0,hold,4184,549,"В дальнейшем, принимая решение, Банк России будет исходить из оценки инфляционных рисков, динамики инфляции и развития экономики относительно прогноза.",https://www.cbr.ru/press/pr/?file=27042018_133000key.htm
2018-06-15,7.25,7.25,0,hold,5529,754,"Банк России будет принимать решение по ключевой ставке, оценивая инфляционные риски, динамику инфляции и развитие экономики относительно прогноза.",https://www.cbr.ru/press/pr/?file=15062018_133000key.htm
2018-07-27,7.25,7.25,0,hold,5053,673,"Банк России будет принимать решения по ключевой ставке, оценивая инфляционные риски, динамику инфляции и развитие экономики относительно прогноза.",https://www.cbr.ru/press/pr/?file=27072018_133000key.htm
2018-09-14,7.5,7.25,25,up,5200,679,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=14092018_133000key.htm
2018-10-26,7.5,7.5,0,hold,5209,657,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=26102018_133000key.htm
2018-12-14,7.75,7.5,25,up,6252,809,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=14122018_133000key.htm
2019-02-08,7.75,7.75,0,hold,5465,741,"Банк России будет принимать решения по ключевой ставке, оценивая достаточность повышения ключевой ставки в сентябре и декабре 2018 года для возврата годовой инфляции к цели в 2020 году, с учетом динамики инфляции и экономики относительно прогноза, а также рисков со стороны внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=08022019_133000key.htm
2019-03-22,7.75,7.75,0,hold,6273,848,"Банк России будет принимать решения по ключевой ставке с учетом динамики инфляции и экономики относительно прогноза, а также оценивая риски со стороны внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=22032019_133000key.htm
2019-04-26,7.75,7.75,0,hold,5166,697,"Банк России будет принимать решения по ключевой ставке с учетом динамики инфляции и экономики относительно прогноза, а также оценивая риски со стороны внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=26042019_133000key.htm
2019-06-14,7.5,7.75,-25,down,6029,794,"Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=14062019_133000key.htm
2019-07-26,7.25,7.5,-25,down,6342,818,"Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",https://www.cbr.ru/press/pr/?file=26072019_133000key.htm
2019-09-06,7.0,7.25,-25,down,6877,876,При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на одном из ближайших заседаний Совета директоров.,https://www.cbr.ru/press/pr/?file=06092019_133000key.htm
