date,direction_actual,delta_bp,rate_new,n_fg_candidates,modality,modality_weight,direction_signal,level_stance,direction_withheld,agent_explicit,impersonal,passive,hedge_count,hedges,cond_count,conditionals,nominalization_ratio,finite_verbs,verbal_nouns,commitment,hardness_v2,stance,n_words,signal_core
2025-06-06,down,-100,20.0,2,intention_directed,0.7,hold,tight,0,1,0,0,0,,0,,0.5,2,2,0.805,0.0,0.241,572,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-07-25,down,-200,18.0,2,intention_directed,0.7,hold,tight,0,1,0,0,0,,1,В базовом сценари,0.5,2,2,0.58,0.0,0.174,627,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-09-12,down,-100,17.0,3,intention_directed,0.7,hold,tight,0,1,0,0,0,,1,в зависимости от,0.5,2,2,0.58,0.0,0.174,586,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-10-24,down,-50,16.5,2,intention_directed,0.7,hold,tight,0,1,0,0,0,,1,В базовом сценари,0.5,2,2,0.58,0.0,0.174,655,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели."
2025-12-19,hold,0,16.5,2,intention_directed,0.7,hold,tight,0,1,0,0,0,,0,,0.5,2,2,0.805,0.0,0.241,531,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели."
2026-02-13,down,-50,16.0,1,delayed_evaluation,0.35,down,none,0,1,0,0,0,,1,в зависимости от,0.778,2,7,0.267,-0.267,-0.187,673,Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции и динамики инфляционных ожиданий.
2026-03-20,down,-50,15.5,1,delayed_evaluation,0.35,down,none,0,1,0,0,0,,2,в зависимости от|с учетом,0.778,2,7,0.244,-0.244,-0.171,469,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внешних и внутренних условий."
2026-04-24,down,-100,14.5,2,delayed_evaluation,0.35,down,none,0,1,0,0,0,,1,в зависимости от,0.778,2,7,0.267,-0.267,-0.187,563,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внешних и внутренних условий."
2026-06-19,down,-25,14.25,1,delayed_evaluation,0.35,down,none,0,1,0,0,0,,2,в зависимости от|с учетом,0.778,2,7,0.244,-0.244,-0.171,519,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внутренних и внешних условий."
2026-07-24,down,-25,14.0,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,в зависимости от,0.6,2,3,0.207,0.0,0.0,656,"Банк России будет принимать дальнейшие решения по ключевой ставке в зависимости от динамики инфляции и инфляционных ожиданий, а также от оценки рисков со стороны внутренних и внешних условий."
