date,url,status,size,title
2018-03-23,https://www.cbr.ru/press/pr/?file=23032018_133000keyrate2018-03-23t13_20_35.htm,cached,43371,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 7,25% годовых | Банк России"
2018-04-27,https://www.cbr.ru/press/pr/?file=27042018_133000key.htm,cached,41890,"Банк России принял решение сохранить ключевую ставку на уровне 7,25% годовых | Банк России"
2018-06-15,https://www.cbr.ru/press/pr/?file=15062018_133000key.htm,cached,40693,"Банк России принял решение сохранить ключевую ставку на уровне 7,25% годовых | Банк России"
2018-07-27,https://www.cbr.ru/press/pr/?file=27072018_133000key.htm,cached,39082,"Банк России принял решение сохранить ключевую ставку на уровне 7,25% годовых | Банк России"
2018-09-14,https://www.cbr.ru/press/pr/?file=14092018_133000key.htm,cached,39437,"Банк России принял решение повысить ключевую ставку на 0,25 процентного пункта, до 7,50% годовых | Банк России"
2018-10-26,https://www.cbr.ru/press/pr/?file=26102018_133000key.htm,cached,39383,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2018-12-14,https://www.cbr.ru/press/pr/?file=14122018_133000key.htm,cached,41516,"Банк России принял решение повысить ключевую ставку на 0,25 процентного пункта, до 7,75% годовых | Банк России"
2019-02-08,https://www.cbr.ru/press/pr/?file=08022019_133000key.htm,cached,39890,"Банк России принял решение сохранить ключевую ставку на уровне 7,75% годовых | Банк России"
2019-03-22,https://www.cbr.ru/press/pr/?file=22032019_133000key.htm,cached,41897,"Банк России принял решение сохранить ключевую ставку на уровне 7,75% годовых | Банк России"
2019-04-26,https://www.cbr.ru/press/pr/?file=26042019_133000key.htm,cached,39357,"Банк России принял решение сохранить ключевую ставку на уровне 7,75% годовых | Банк России"
2019-06-14,https://www.cbr.ru/press/pr/?file=14062019_133000key.htm,cached,41357,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 7,50% годовых | Банк России"
2019-07-26,https://www.cbr.ru/press/pr/?file=26072019_133000key.htm,cached,41666,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 7,25% годовых | Банк России"
2019-09-06,https://www.cbr.ru/press/pr/?file=06092019_133000key.htm,cached,42995,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 7,00% годовых | Банк России"
2019-10-25,https://www.cbr.ru/press/pr/?file=25102019_133000key.htm,cached,45065,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 6,50% годовых | Банк России"
2019-12-13,https://www.cbr.ru/press/pr/?file=13122019_133000key.htm,cached,44715,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 6,25% годовых | Банк России"
2020-02-07,https://www.cbr.ru/press/pr/?file=07022020_133000key.htm,cached,45571,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 6,00% годовых | Банк России"
2020-03-20,https://www.cbr.ru/press/pr/?file=20032020_133000key.htm,cached,41173,"Банк России принял решение сохранить ключевую ставку на уровне 6,00% годовых | Банк России"
2020-04-24,https://www.cbr.ru/press/pr/?file=24042020_133000key.htm,cached,43647,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 5,50% годовых | Банк России"
2020-06-19,https://www.cbr.ru/press/pr/?file=19062020_133000key.htm,cached,42662,"Банк России принял решение снизить ключевую ставку на 100 б.п., до 4,50% годовых | Банк России"
2020-07-24,https://www.cbr.ru/press/pr/?file=24072020_133000key.htm,cached,46055,"Банк России принял решение снизить ключевую ставку на 25 б.п., до 4,25% годовых | Банк России"
2020-09-18,https://www.cbr.ru/press/pr/?file=18092020_133000key.htm,cached,45354,"Банк России принял решение сохранить ключевую ставку на уровне 4,25% годовых | Банк России"
2020-10-23,https://www.cbr.ru/press/pr/?file=23102020_133000key.htm,cached,46372,"Банк России принял решение сохранить ключевую ставку на уровне 4,25% годовых | Банк России"
2020-12-18,https://www.cbr.ru/press/pr/?file=18122020_133000key.htm,cached,46707,"Банк России принял решение сохранить ключевую ставку на уровне 4,25% годовых | Банк России"
2021-02-12,https://www.cbr.ru/press/pr/?file=12022021_133000key.htm,cached,50194,"Банк России принял решение сохранить ключевую ставку на уровне 4,25% годовых | Банк России"
2021-03-19,https://www.cbr.ru/press/pr/?file=19032021_133000key.htm,cached,46032,"Банк России принял решение повысить ключевую ставку на 25 б.п., до 4,50% годовых | Банк России"
2021-04-23,https://www.cbr.ru/press/pr/?file=23042021_133000key.htm,cached,47828,"Банк России принял решение повысить ключевую ставку на 50 б.п., до 5,00% годовых | Банк России"
2021-06-11,https://www.cbr.ru/press/pr/?file=11062021_133000key.htm,cached,46100,"Банк России принял решение повысить ключевую ставку на 50 б.п., до 5,50% годовых | Банк России"
2021-07-23,https://www.cbr.ru/press/pr/?file=23072021_133000key.htm,cached,47444,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 6,50% годовых | Банк России"
2021-09-10,https://www.cbr.ru/press/pr/?file=10092021_133000key.htm,cached,46532,"Банк России принял решение повысить ключевую ставку на 25 б.п., до 6,75% годовых | Банк России"
2021-10-22,https://www.cbr.ru/press/pr/?file=22102021_133000key.htm,cached,48200,"Банк России принял решение повысить ключевую ставку на 75 б.п., до 7,50% годовых | Банк России"
2021-12-17,https://www.cbr.ru/press/pr/?file=17122021_133000key.htm,cached,46964,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 8,50% годовых | Банк России"
2022-02-11,https://www.cbr.ru/press/pr/?file=11022022_133000key.htm,cached,48289,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 9,50% годовых | Банк России"
2022-02-28,https://www.cbr.ru/press/pr/?file=28022022_094500key.htm,cached,31224,Банк России принял решение повысить ключевую ставку до 20% годовых | Банк России
2022-04-08,https://www.cbr.ru/press/pr/?file=08042022_114000key.htm,ok,33013,"Банк России принял решение снизить ключевую ставку на 300 б.п., до 17,00% годовых | Банк России"
2022-04-29,https://www.cbr.ru/press/pr/?file=29042022_133000key.htm,cached,43495,"Банк России принял решение снизить ключевую ставку на 300 б.п., до 14,00% годовых | Банк России"
2022-05-26,https://www.cbr.ru/press/pr/?file=26052022_103000key.htm,cached,33034,"Банк России принял решение снизить ключевую ставку на 300 б.п., до 11,00% годовых | Банк России"
2022-06-10,https://www.cbr.ru/press/pr/?file=10062022_133000key.htm,cached,45287,"Банк России принял решение снизить ключевую ставку на 150 б.п., до 9,50% годовых | Банк России"
2022-07-22,https://www.cbr.ru/press/pr/?file=22072022_133000key.htm,cached,48888,"Банк России принял решение снизить ключевую ставку на 150 б.п., до 8,00% годовых | Банк России"
2022-09-16,https://www.cbr.ru/press/pr/?file=16092022_133000key.htm,cached,47758,"Банк России принял решение снизить ключевую ставку на 50 б.п., до 7,50% годовых | Банк России"
2022-10-28,https://www.cbr.ru/press/pr/?file=28102022_133000key.htm,cached,46870,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2022-12-16,https://www.cbr.ru/press/pr/?file=16122022_133000key.htm,cached,44945,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2023-02-10,https://www.cbr.ru/press/pr/?file=10022023_133000key.htm,cached,45769,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2023-03-17,https://www.cbr.ru/press/pr/?file=17032023_133000key.htm,cached,45260,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2023-04-28,https://www.cbr.ru/press/pr/?file=28042023_133000key.htm,cached,48090,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2023-06-09,https://www.cbr.ru/press/pr/?file=09062023_133024key.htm,cached,46695,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых | Банк России"
2023-07-21,https://www.cbr.ru/press/pr/?file=21072023_133000key.htm,cached,46326,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 8,50% годовых | Банк России"
2023-08-15,https://www.cbr.ru/press/pr/?file=15082023_103000key.htm,cached,33450,"Банк России принял решение повысить ключевую ставку на 350 б.п., до 12,00% годовых | Банк России"
2023-09-15,https://www.cbr.ru/press/pr/?file=15092023_133000key.htm,cached,47480,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 13,00% годовых | Банк России"
2023-10-27,https://www.cbr.ru/press/pr/?file=27102023_133000key.htm,cached,49741,"Банк России принял решение повысить ключевую ставку на 200 б.п., до 15,00% годовых | Банк России"
